pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-150 c,Kepler-150,Transit,2014,876.0
Kepler-224 c,Kepler-224,Transit,2014,758.0
HATS-43 b,HATS-43,Transit,2018,1003.0
K2-389 c,K2-389,Transit,2022,
Kepler-956 b,Kepler-956,Transit,2016,1056.0
Kepler-1052 b,Kepler-1052,Transit,2016,522.0
TOI-1437 b,TOI-1437,Transit,2024,794.23
Kepler-685 b,Kepler-685,Transit,2016,1579.0
K2-89 b,K2-89,Transit,2016,
Kepler-1405 b,Kepler-1405,Transit,2016,565.0
GJ 806 b,GJ 806,Transit,2023,940.0
WASP-49 b,WASP-49,Transit,2012,1400.0
Kepler-1699 b,Kepler-1699,Transit,2020,1010.0
HAT-P-13 b,HAT-P-13,Transit,2009,1740.0
HATS-63 b,HATS-63,Transit,2018,1398.3
K2-414 b,K2-414,Transit,2022,
TOI-5795 b,TOI-5795,Transit,2025,1136.78
Kepler-1152 b,Kepler-1152,Transit,2016,806.0
HD 30669 b,HD 30669,Radial Velocity,2014,
HD 155918 c,HD 155918,Radial Velocity,2022,
Kepler-1391 b,Kepler-1391,Transit,2016,513.0
TOI-2406 b,TOI-2406,Transit,2021,449.0
Kepler-25 c,Kepler-25,Transit,2011,934.0
TOI-1052 b,TOI-1052,Transit,2023,1135.0
Kepler-1813 b,Kepler-1813,Transit,2021,1059.0
TOI-1174 b,TOI-1174,Transit,2024,713.83
K2-196 b,K2-196,Transit,2018,
HD 200964 c,HD 200964,Radial Velocity,2010,
Kepler-156 b,Kepler-156,Transit,2014,867.0
Kepler-1315 b,Kepler-1315,Transit,2016,1541.0
Kepler-93 c,Kepler-93,Radial Velocity,2014,
Kepler-425 b,Kepler-425,Transit,2014,1070.0
Kepler-477 b,Kepler-477,Transit,2016,649.0
WASP-66 b,WASP-66,Transit,2012,1569.7
Kepler-197 b,Kepler-197,Transit,2014,1142.0
Kepler-275 b,Kepler-275,Transit,2014,1015.0
KMT-2021-BLG-1150L b,KMT-2021-BLG-1150L,Microlensing,2023,
