pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-129 b,Kepler-129,Transit,2014,910
Barnard b,Barnard's star,Radial Velocity,2024,438
HAT-P-57 b,HAT-P-57,Transit,2015,2200
Kepler-446 b,Kepler-446,Transit,2015,648
TOI-969 c,TOI-969,Radial Velocity,2022,96.4
TOI-1294 b,TOI-1294,Transit,2024,1392.74
K2-216 b,K2-216,Transit,2018,1103
Kepler-167 d,Kepler-167,Transit,2016,538
KOI-351 b,KOI-351,Transit,2013,1062
Kepler-1549 b,Kepler-1549,Transit,2016,286
WASP-151 b,WASP-151,Transit,2017,1312
Kepler-1629 b,Kepler-1629,Transit,2016,1081
Kepler-414 b,Kepler-414,Transit Timing Variations,2014,1024
Kepler-1198 b,Kepler-1198,Transit,2016,830
K2-289 b,K2-289,Transit,2019,753
K2-38 b,K2-38,Transit,2016,1266
WASP-104 b,WASP-104,Transit,2014,1516
GJ 1002 b,GJ 1002,Radial Velocity,2022,230.9
Kepler-1680 b,Kepler-1680,Transit,2020,771
Kepler-379 c,Kepler-379,Transit,2014,530
TOI-1801 b,TOI-1801,Transit,2023,493.7
Kepler-1321 b,Kepler-1321,Transit,2016,408
TOI-762 A b,TOI-762 A,Transit,2024,555.4
K2-187 e,K2-187,Transit,2018,698
Kepler-29 b,Kepler-29,Transit,2011,777
TOI-178 e,TOI-178,Transit,2021,600
Kepler-1486 b,Kepler-1486,Transit,2016,538
Kepler-1718 b,Kepler-1718,Transit,2021,345
Kepler-1086 c,Kepler-1086,Transit,2016,211
K2-32 e,K2-32,Transit,2019,1066
TOI-5108 b,TOI-5108,Transit,2025,1180
Kepler-78 b,Kepler-78,Transit,2013,2223
Kepler-1944 b,Kepler-1944,Transit,2021,801
TOI-1742 b,TOI-1742,Transit,2024,694.09
TOI-4914 b,TOI-4914,Transit,2024,894
K2-105 b,K2-105,Transit,2017,805
K2-37 c,K2-37,Transit,2016,839
WASP-60 b,WASP-60,Transit,2012,1479
Kepler-911 b,Kepler-911,Transit,2016,931
USco1556 b,USco1556 A,Imaging,2019,2240
Kepler-1762 b,Kepler-1762,Transit,2021,714
Kepler-1679 b,Kepler-1679,Transit,2020,813
K2-270 b,K2-270,Transit,2018,1203
Kepler-1529 b,Kepler-1529,Transit,2016,817
Kepler-98 b,Kepler-98,Transit,2014,1592
Kepler-238 b,Kepler-238,Transit,2014,1642
Kepler-67 b,Kepler-67,Transit,2013,602
Kepler-350 c,Kepler-350,Transit,2013,888
WASP-6 b,WASP-6,Transit,2009,1167
Kepler-1327 b,Kepler-1327,Transit,2016,831
WASP-189 b,WASP-189,Transit,2020,3353
Kepler-677 b,Kepler-677,Transit,2016,1015
Kepler-773 b,Kepler-773,Transit,2016,1160
Kepler-816 b,Kepler-816,Transit,2016,668
Kepler-362 b,Kepler-362,Transit,2014,838
TOI-2295 b,TOI-2295,Transit,2024,747
HD 219134 c,HD 219134,Radial Velocity,2015,782
K2-239 d,K2-239,Transit,2018,399
Kepler-182 c,Kepler-182,Transit,2014,729
Kepler-880 c,Kepler-880,Transit,2023,1407
Kepler-1303 b,Kepler-1303,Transit,2016,891
Kepler-656 c,Kepler-656,Transit,2023,975
TOI-1295 b,TOI-1295,Transit,2024,2360
Kepler-110 c,Kepler-110,Transit,2014,743
Kepler-273 c,Kepler-273,Transit,2014,865
IRAS 04125+2902 b,IRAS 04125+2902,Transit,2024,854
NGTS-15 b,NGTS-15,Transit,2021,1146
Kepler-1016 b,Kepler-1016,Transit,2016,1540
HD 108236 e,HD 108236,Transit,2020,636
Kepler-1232 b,Kepler-1232,Transit,2016,523
L 363-38 b,L 363-38,Radial Velocity,2023,330
Kepler-1941 b,Kepler-1941,Transit,2021,666
WASP-64 b,WASP-64,Transit,2012,1689
Kepler-417 c,Kepler-417,Transit Timing Variations,2014,616
