pl_name,hostname,discoverymethod,disc_year,pl_eqt,st_teff
Kepler-1800 b,Kepler-1800,Transit,2021,1533.0,5211.68
Kepler-1599 b,Kepler-1599,Transit,2016,407.0,5767.0
Kepler-1717 b,Kepler-1717,Transit,2021,780.0,6591.89
TOI-431 d,TOI-431,Transit,2021,633.0,4850.0
Kepler-735 b,Kepler-735,Transit,2016,657.0,5107.0
GJ 341 b,GJ 341,Transit,2025,629.0,3745.0
Kepler-1074 b,Kepler-1074,Transit,2016,568.0,4002.0
TOI-6016 b,TOI-6016,Transit,2024,1890.0,6004.0
Kepler-1278 b,Kepler-1278,Transit,2016,1213.0,6074.0
Kepler-1558 b,Kepler-1558,Transit,2016,1019.0,5101.0
TOI-5720 b,TOI-5720,Transit,2024,708.0,3325.0
Kepler-204 c,Kepler-204,Transit,2014,683.0,5812.0
Kepler-347 c,Kepler-347,Transit,2014,705.0,6088.0
TOI-1260 c,TOI-1260,Transit,2021,651.0,4227.0
Kepler-203 d,Kepler-203,Transit,2014,855.0,5821.0
Kepler-1730 b,Kepler-1730,Transit,2021,833.0,5598.0
Kepler-786 b,Kepler-786,Transit,2016,348.0,4838.0
Kepler-306 e,Kepler-306,Transit,2014,390.0,4954.0
TOI-181 b,TOI-181,Transit,2023,895.1,4994.0
Kepler-1905 b,Kepler-1905,Transit,2021,1212.0,5609.94
Kepler-230 c,Kepler-230,Transit,2014,359.0,5588.0
HATS-16 b,HATS-16,Transit,2016,1592.0,5738.0
Kepler-1091 b,Kepler-1091,Transit,2016,1664.0,5851.0
TOI-251 b,TOI-251,Transit,2021,1041.19,5875.0
Kepler-1839 b,Kepler-1839,Transit,2021,1049.0,5633.0
Kepler-1713 b,Kepler-1713,Transit,2021,900.0,6334.8
K2-3 c,K2-3,Transit,2015,371.8,3896.0
Kepler-295 b,Kepler-295,Transit,2014,741.0,5603.0
OGLE2-TR-L9 b,OGLE2-TR-L9,Transit,2008,2034.0,6933.0
HATS-3 b,HATS-3,Transit,2013,1648.0,6351.0
Kepler-694 b,Kepler-694,Transit,2016,914.0,5700.0
Kepler-150 d,Kepler-150,Transit,2014,734.0,5560.0
Kepler-1994 b,Kepler-1994,Transit,2023,1032.0,5337.39
Kepler-1121 b,Kepler-1121,Transit,2016,1008.0,6231.0
Kepler-148 c,Kepler-148,Transit,2014,957.0,5272.0
HATS-32 b,HATS-32,Transit,2016,1437.0,5700.0
Kepler-466 c,Kepler-466,Transit,2016,1206.0,5927.0
HAT-P-46 b,HAT-P-46,Transit,2014,1458.0,6120.0
TOI-1244 b,TOI-1244,Transit,2024,714.86,4600.0
CoRoT-36 b,CoRoT-36,Transit,2022,1567.0,6730.0
Kepler-402 d,Kepler-402,Transit,2014,1006.0,6090.0
WASP-38 b,WASP-38,Transit,2010,1250.0,6150.0
Kepler-1488 c,Kepler-1488,Transit,2021,1212.0,5757.09
TOI-1478 b,TOI-1478,Transit,2021,918.0,5595.0
Kepler-198 c,Kepler-198,Transit,2014,465.0,5574.0
Kepler-129 b,Kepler-129,Transit,2014,910.0,5770.0
Kepler-446 b,Kepler-446,Transit,2015,648.0,3359.0
TOI-969 c,TOI-969,Radial Velocity,2022,96.4,4435.0
TOI-1294 b,TOI-1294,Transit,2024,1392.74,5714.0
K2-216 b,K2-216,Transit,2018,1103.0,4503.0
Kepler-1549 b,Kepler-1549,Transit,2016,286.0,5324.0
WASP-151 b,WASP-151,Transit,2017,1312.0,5871.0
Kepler-1629 b,Kepler-1629,Transit,2016,1081.0,5776.0
Kepler-414 b,Kepler-414,Transit Timing Variations,2014,1024.0,5567.0
Kepler-1198 b,Kepler-1198,Transit,2016,830.0,5517.0
K2-289 b,K2-289,Transit,2019,753.0,5529.0
K2-38 b,K2-38,Transit,2016,1266.0,5705.0
Kepler-1680 b,Kepler-1680,Transit,2020,771.0,4975.5
Kepler-1321 b,Kepler-1321,Transit,2016,408.0,4034.0
K2-187 e,K2-187,Transit,2018,698.0,5484.0
Kepler-29 b,Kepler-29,Transit,2011,777.0,5378.0
TOI-178 e,TOI-178,Transit,2021,600.0,4316.0
Kepler-1486 b,Kepler-1486,Transit,2016,538.0,5965.0
Kepler-1718 b,Kepler-1718,Transit,2021,345.0,5839.24
TOI-5108 b,TOI-5108,Transit,2025,1180.0,5808.0
TOI-1742 b,TOI-1742,Transit,2024,694.09,5707.0
TOI-4914 b,TOI-4914,Transit,2024,894.0,5805.0
K2-105 b,K2-105,Transit,2017,805.0,5464.0
K2-37 c,K2-37,Transit,2016,839.0,5413.0
WASP-60 b,WASP-60,Transit,2012,1479.0,5900.0
Kepler-911 b,Kepler-911,Transit,2016,931.0,6112.0
Kepler-1762 b,Kepler-1762,Transit,2021,714.0,6198.0
Kepler-1679 b,Kepler-1679,Transit,2020,813.0,5358.25
K2-270 b,K2-270,Transit,2018,1203.0,4877.0
Kepler-1529 b,Kepler-1529,Transit,2016,817.0,5048.0
Kepler-98 b,Kepler-98,Transit,2014,1592.0,5539.0
Kepler-238 b,Kepler-238,Transit,2014,1642.0,5751.0
Kepler-67 b,Kepler-67,Transit,2013,602.0,5331.0
Kepler-350 c,Kepler-350,Transit,2013,888.0,6186.0
WASP-6 b,WASP-6,Transit,2009,1167.0,5450.0
Kepler-1327 b,Kepler-1327,Transit,2016,831.0,5885.0
Kepler-677 b,Kepler-677,Transit,2016,1015.0,5723.0
Kepler-816 b,Kepler-816,Transit,2016,668.0,5286.0
TOI-2295 b,TOI-2295,Transit,2024,747.0,5733.0
HD 219134 c,HD 219134,Radial Velocity,2015,782.0,4699.0
K2-239 d,K2-239,Transit,2018,399.0,3420.0
Kepler-182 c,Kepler-182,Transit,2014,729.0,6250.0
Kepler-1303 b,Kepler-1303,Transit,2016,891.0,5771.0
Kepler-656 c,Kepler-656,Transit,2023,975.0,5139.72
TOI-1295 b,TOI-1295,Transit,2024,2360.0,6269.0
Kepler-110 c,Kepler-110,Transit,2014,743.0,5960.0
Kepler-273 c,Kepler-273,Transit,2014,865.0,5626.0
IRAS 04125+2902 b,IRAS 04125+2902,Transit,2024,854.0,3303.0
NGTS-15 b,NGTS-15,Transit,2021,1146.0,5600.0
Kepler-1016 b,Kepler-1016,Transit,2016,1540.0,5821.0
HD 108236 e,HD 108236,Transit,2020,636.0,5720.0
Kepler-1232 b,Kepler-1232,Transit,2016,523.0,5471.0
L 363-38 b,L 363-38,Radial Velocity,2023,330.0,3129.0
Kepler-1941 b,Kepler-1941,Transit,2021,666.0,6283.0
Kepler-1691 b,Kepler-1691,Transit,2020,1283.0,5753.0
TOI-2184 b,TOI-2184,Transit,2022,1676.05,5966.0
K2-254 b,K2-254,Transit,2018,791.0,4629.0
WASP-190 b,WASP-190,Transit,2019,1500.0,6400.0
WASP-47 c,WASP-47,Radial Velocity,2015,247.0,5552.0
Kepler-940 b,Kepler-940,Transit,2016,486.0,5769.0
Kepler-398 c,Kepler-398,Transit,2014,536.0,4493.0
WASP-74 b,WASP-74,Transit,2015,1926.0,5970.0
Kepler-180 c,Kepler-180,Transit,2014,540.0,5731.0
TRAPPIST-1 d,TRAPPIST-1,Transit,2016,286.2,2560.0
Kepler-524 c,Kepler-524,Transit,2016,1574.0,6014.0
Kepler-1316 b,Kepler-1316,Transit,2016,446.0,5884.0
Kepler-399 d,Kepler-399,Transit,2014,486.0,5502.0
TOI-5817 b,TOI-5817,Transit,2025,950.0,5770.0
WASP-165 b,WASP-165,Transit,2018,1624.0,5599.0
Kepler-408 b,Kepler-408,Transit,2014,1561.0,6104.0
Kepler-1311 d,Kepler-1311,Transit,2021,391.0,5719.0
Kepler-1866 b,Kepler-1866,Transit,2021,834.0,5786.0
K2-165 d,K2-165,Transit,2018,629.38,5185.0
Kepler-391 c,Kepler-391,Transit,2014,662.0,4940.0
TOI-2018 b,TOI-2018,Transit,2023,576.34,4174.0
